Well.x,SAMPLE,GENE.x,brain.region,CT,CT.MEAN,CT.SD,Well.y,GENE.y,actb._C,actb.mean,actb.SD,Nest.id,ABC,Location,Treatment,Date,Age,Habitat,Cowbird,Tarsus.1,Tarsus.2,Tarsus.3,Tarsus.4,Tarsus.5,Tarsus.avg,Wing.Chord.1,Wing.Chord.2,Wing.Chord.3,Wing.Chord.4,Wing.Chord.5,Wing.chord.avg.,Bill.w,Bill.d,Bill.l,Pin,Feather,Pin.b,Tail.pin,Tail.feather,Measurer,Mass,delta.ct,delta.ctmean,dd.ct,RQ
D11,HY-1,MR,HYPO,27.96170044,27.94546509,0.022960255,A1,ACTB,19.67105484,19.63041878,0.057468072,33SJL22,C,STREAM,Rural,6/30/22,7,Rural,No,19.25,19.34,19.2,19.21,19.71,19.342,30.14,30.95,30.26,30.56,30.65,30.512,5.11,3.28,4.98,14.94,1.66,13.42,4.71,0.62,DSM,15.2,8.31504631,7.345852755,0.969193556,0.510791508
A1,HY-1,GR,HYPO,28.45656586,28.29919815,0.22255154,A1,ACTB,19.67105484,19.63041878,0.057468072,33SJL22,C,STREAM,Rural,6/30/22,7,Rural,No,19.25,19.34,19.2,19.21,19.71,19.342,30.14,30.95,30.26,30.56,30.65,30.512,5.11,3.28,4.98,14.94,1.66,13.42,4.71,0.62,DSM,15.2,8.66877937,6.827318492,1.841460878,0.279039085
B7,HY-10,MR,HYPO,25.8177166,25.73910522,0.111171924,B7,ACTB,19.4044838,19.44656372,0.059511349,03SJL22,NA,NVT,Urban,5/16/22,10,Urban,No,23.23,23.27,22.98,22.98,23.36,23.164,42.48,42.3,42.26,41.96,41.21,42.042,5.48,4.83,6.51,28.21,16.27,11.82,12.42,5.19,DSM,19.4,6.2925415,7.345852755,-1.053311255,2.075287558
B7,HY-10,GR,HYPO,25.90996361,25.90882874,0.001604952,B7,ACTB,19.4044838,19.44656372,0.059511349,03SJL22,NA,NVT,Urban,5/16/22,10,Urban,No,23.23,23.27,22.98,22.98,23.36,23.164,42.48,42.3,42.26,41.96,41.21,42.042,5.48,4.83,6.51,28.21,16.27,11.82,12.42,5.19,DSM,19.4,6.46226502,6.827318492,-0.365053472,1.287929364
B11,HY-12,MR,HYPO,27.06441116,27.07372665,0.013175442,B11,ACTB,19.35132599,19.3551445,0.005400192,07TEF22,B,STREAM,Rural,5/12/22,5,Rural,No,16.05,15.61,15.66,15.55,15.26,15.626,17.57,17.1,17.13,17.1,17.41,17.262,4.42,3.73,4.45,6.51,NA,NA,1.61,NA,NM,NA,7.71858215,7.345852755,0.372729396,0.772319983
B11,HY-12,GR,HYPO,26.86106682,26.80220604,0.083241709,B11,ACTB,19.35132599,19.3551445,0.005400192,07TEF22,B,STREAM,Rural,5/12/22,5,Rural,No,16.05,15.61,15.66,15.55,15.26,15.626,17.57,17.1,17.13,17.1,17.41,17.262,4.42,3.73,4.45,6.51,NA,NA,1.61,NA,NM,NA,7.44706154,6.827318492,0.619743048,0.650786826
C1,HY-13,MR,HYPO,27.82540131,27.71199226,0.16038461,C1,ACTB,19.7174015,19.71419144,0.00454107,02TEF22,A,NVT,Urban,5/15/22,5,Urban,No,19.42,19.4,19.49,19.63,19.59,19.506,33.42,33.28,33.39,33.28,33.36,33.346,3.88,3.81,4.53,21.5,13.02,9.1,8.18,3.26,NM,7,7.99780082,7.345852755,0.651948065,0.636420377
C1,HY-13,GR,HYPO,26.80220795,26.74670792,0.078488894,C1,ACTB,19.7174015,19.71419144,0.00454107,02TEF22,A,NVT,Urban,5/15/22,5,Urban,No,19.42,19.4,19.49,19.63,19.59,19.506,33.42,33.28,33.39,33.28,33.36,33.346,3.88,3.81,4.53,21.5,13.02,9.1,8.18,3.26,NM,7,7.03251648,6.827318492,0.205197988,0.867419639
C3,HY-14,MR,HYPO,26.99517822,26.97250557,0.032063972,C3,ACTB,20.45186996,20.49105835,0.055422094,11SJL22,B,HERT,Rural,5/17/22,10,Rural,No,21.02,20.83,20.72,20.85,20.5,20.784,37.78,38.61,37.76,37.27,38.24,37.932,4.47,4.36,5.62,25.58,12.03,13.51,11.8,3.08,NM,16.4,6.48144722,7.345852755,-0.864405535,1.820589335
C3,HY-14,GR,HYPO,26.4248867,26.44067383,0.022325017,C3,ACTB,20.45186996,20.49105835,0.055422094,11SJL22,B,HERT,Rural,5/17/22,10,Rural,No,21.02,20.83,20.72,20.85,20.5,20.784,37.78,38.61,37.76,37.27,38.24,37.932,4.47,4.36,5.62,25.58,12.03,13.51,11.8,3.08,NM,16.4,5.94961548,6.827318492,-0.877703012,1.837447477
