Date,Year,Time,Color,NID,Habitat,Site,Individual ID,Nestling FWB,Female FWB,Male FWB,Male Band Combo,Day,Species,Mass,Tarsus Average,Wingchord average,total.pin,pin.once.broken ,feather.once.broken,Bill Width,Bill Length,Bill Depth,Tail,Head,Measure,nest.fate,nest.predation,bhco.nestling,bhco.hab,Baseline cort,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/17,2017,,GG,05URBN17,Urban,Radford,,271176169,NA,NA,WGGS,10,SOSP,14.3,19.4,32.9,22.4,NA,3.4,NA,NA,NA,NA,NA,SJL,success,no,no,urban.no,0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/17,2017,,GG,17URBN17,Urban,North VT,,271176191,N,277149448,KYSW,7,SOSP,15.8,20.5,28.5,18,NA,3.5,NA,NA,NA,NA,NA,SJL,success,no,yes,urban.yes,0.749,broken leg not banded bled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/17,2017,,GG,05VNB17,Urban,South VT,,277149453,N,271176102,GGYS,8,SOSP,14.5,19.6,34.1,21,NA,4.3,NA,NA,NA,NA,NA,SJL,success,no,no,urban.no,0.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/17,2017,,,10RURL17,Rural,Strem,,271176127,NA,271176180,KSKY,10,SOSP,15.2,22.1,37.2,19.3,NA,11,NA,NA,NA,NA,NA,SJL,success,no,no,rural,0.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/17,2017,NA,,03URBN17,Urban,South VT,,271176067,NA,277149451,KGSK,10,SOSP,12.3,17.4,23.7,NA,NA,0,NA,NA,NA,NA,NA,SJL,success,no,no,urban.no,1.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/17,2017,NA,,03URBN17,Urban,South VT,,271176068,NA,277149451,KGSK,10,SOSP,16.1,18.1,26.4,NA,NA,1.4,NA,NA,NA,NA,NA,SJL,success,no,no,urban.no,1.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/17,2017,,KD,05VNB17,Urban,South VT,,277149452,N,271176102,GGYS,8,SOSP,13,19,31.1,19.3,NA,4.6,NA,NA,NA,NA,NA,SJL,success,no,no,urban.no,1.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/17,2017,,KK,05URBN17,Urban,Radford,,271176061,NA,NA,WGGS,10,SOSP,11.8,19,29.4,12.6,NA,5.2,NA,NA,NA,NA,NA,SJL,success,no,no,urban.no,1.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/17,2017,11:15,DD,06URBN17,Urban,North VT,,271176197,KWSY,271176148,SKWG,6,SOSP,14.1,16.5,19.8,8.1,NA,NA,NA,NA,NA,NA,NA,SJL,success,no,yes,urban.yes,1.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/17,2017,11:15,RR,06URBN17,Urban,North VT,2017029,NA,KWSY,271176148,SKWG,7,BHCO,25.1,22.8,45.5,26.7,NA,NA,NA,NA,NA,NA,NA,SJL,success,no,yes,urban.yes,1.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/17,2017,,KK,05VNB17,Urban,South VT,,277149446,N,271176102,GGYS,8,SOSP,14.6,20.6,33.1,23,NA,3.2,NA,NA,NA,NA,NA,SJL,success,no,no,urban.no,2.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/17,2017,,S,18URBAN17,Urban,North VT,,271176176,NA,277149452,YYGS,10,SOSP,16.5,20.7,39.6,23.5,NA,13.1,NA,NA,NA,NA,NA,SJL,success,no,no,urban.no,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/17,2017,,RR,05RURL17,Rural,Stream,,271176183,NA,271176179,KSYR,5,SOSP,9.1,14.8,14.4,6.5,NA,NA,NA,NA,NA,NA,NA,SJL,success,no,no,rural,2.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/17,2017,,DD,06VNB17,Urban,South VT,,271176113,N,271176025,RGSW,7,SOSP,15.5,20.1,37.5,26.6,NA,16.1,NA,NA,NA,NA,NA,SJL,success,no,no,urban.no,3.114,bled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/17,2017,NA,KK,03RURL17,Rural,Stream,,271176118,NA,NA,NA,6,SOSP,14.4,20.4,28.5,15,NA,2.8,NA,NA,NA,NA,NA,SJL,success,no,no,rural,3.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/17,2017,,BB,05URBN17,Urban,Radford,,271176117,NA,NA,WGGS,10,SOSP,10,17.6,25.6,NA,NA,NA,NA,NA,NA,NA,NA,SJL,success,no,no,urban.no,3.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/17,2017,,DD,05VNB17,Urban,South VT,,277149455,N,271176102,GGYS,8,SOSP,10.3,17.4,26.2,15.5,NA,1.5,NA,NA,NA,NA,NA,SJL,success,no,no,urban.no,3.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/17,2017,,M2,18URBAN17,Urban,North VT,,271176198,NA,277149452,YYGS,10,SOSP,16,21.3,35.5,22,NA,11.8,NA,NA,NA,NA,NA,SJL,success,no,no,urban.no,3.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/17,2017,,RR,05VNB17,Urban,South VT,,277149454,N,271176102,GGYS,8,SOSP,15.9,20.7,34.9,23.3,NA,4.4,NA,NA,NA,NA,NA,SJL,success,no,no,urban.no,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/17,2017,,KK,06VNB17,Urban,South VT,,271176175,N,271176025,RGSW,7,SOSP,15,20,38.7,27,NA,16,NA,NA,NA,NA,NA,SJL,success,no,no,urban.no,4.254,bled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/17,2017,,RR,06VNB17,Urban,South VT,,271176192,N,271176025,RGSW,7,SOSP,14.6,20.7,38.1,26.2,NA,15.5,NA,NA,NA,NA,NA,SJL,success,no,no,urban.no,4.547,bled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/17,2017,,DD,09RURL17,Rural,Strem,,271176123,N,269131361,YWSW,10,SOSP,15.1,19,30.2,17.5,NA,1.3,,NA,NA,NA,NA,SJL,success,no,no,rural,4.609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/17,2017,NA,BB,03RURL17,Rural,Stream,,271176119,NA,NA,NA,6,SOSP,13,18.8,24.8,4.1,NA,1.2,NA,NA,NA,NA,NA,SJL,success,no,no,rural,4.662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/17,2017,,GG,05RURL17,Rural,Stream,,271176184,NA,271176179,KSYR,5,SOSP,7.7,13.7,15.1,5,NA,NA,NA,NA,NA,NA,NA,SJL,success,no,no,rural,4.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/17,2017,12:00,GG,04RURL17,Rural,Stream,,271176120,N,271176178,YSYW,7,SOSP,12.6,16.9,20.9,9.3,NA,0,NA,NA,NA,NA,NA,SJL,success,no,no,rural,5.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/17,2017,11:15,KK,06URBN17,Urban,North VT,,271176196,KWSY,271176148,SKWG,6,SOSP,10.6,15,18,7.9,NA,NA,NA,NA,NA,NA,NA,SJL,success,no,yes,urban.yes,6.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/17,2017,,,02URBN17,Urban,South VT,,271176064,N,269131399,RWSK,10,SOSP,17.7,20.7,40.4,8.5,NA,18.9,NA,NA,NA,NA,NA,SJL,success,no,no,urban.no,6.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/17,2017,,KK,09RURL17,Rural,Strem,,271176124,N,269131361,YWSW,10,SOSP,15.6,20.3,30.8,17,NA,2.6,NA,NA,NA,NA,NA,SJL,success,no,no,rural,6.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/19/17,2017,,DD,10URBN17,Urban,South VT,,277149436,NA,271176189,GSDD,9,SOSP,15.5,19.7,35,25.2,NA,11.6,NA,NA,NA,NA,NA,SJL,success,no,no,urban.no,7.053,KK or DD force fledged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/17,2017,12:00,KK,04RURL17,Rural,Stream,,271176181,N,271176178,YSYW,7,SOSP,13.5,17.4,23,11.5,NA,1.4,NA,NA,NA,NA,NA,SJL,success,no,no,rural,8.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/17,2017,,GG,06VNB17,Urban,South VT,,271176171,N,271176025,RGSW,7,SOSP,14.2,21.2,36.1,25.5,NA,13.3,NA,NA,NA,NA,NA,SJL,success,no,no,urban.no,8.422,bled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/17,2017,,,10RURL17,Rural,Strem,,271176128,NA,271176180,KSKY,10,SOSP,14,20.9,32.8,15,NA,7.8,NA,NA,NA,NA,NA,SJL,success,no,no,rural,10.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/17,2017,,RR,05URBN17,Urban,Radford,,271176062,NA,NA,WGGS,10,SOSP,14.1,19.9,31.9,12.3,NA,3.4,NA,NA,NA,NA,NA,SJL,success,no,no,urban.no,10.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/17,2017,12:00,RR,04RURL17,Rural,Stream,,271176121,N,271176178,YSYW,7,SOSP,8.5,14.8,17.7,6.1,NA,0,NA,NA,NA,NA,NA,SJL,success,no,no,rural,13.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/17,2017,,,10RURL17,Rural,Strem,,271176125,NA,271176180,KSKY,10,SOSP,16.2,21.6,37.6,16.4,NA,8.7,NA,NA,NA,NA,NA,SJL,success,no,no,rural,18.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
